Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Stefan Noesen,31,RW,78,22,19,41,-8,54,11,11,0,5,15,4,0,165,13.3,284,15:56,41,44,48.2,26,152,14,73
Nick Paul,29,LW,76,22,19,41,13,30,20,2,0,3,15,3,1,141,15.6,255,16:27,393,393,50,31,66,19,48
Morgan Rielly,30,D,82,7,34,41,-8,21,6,1,0,2,20,13,1,126,5.6,303,21:23,0,0,,131,21,20,99
Ryan Strome,31,C,82,10,31,41,-3,70,10,0,0,3,25,6,0,137,7.3,263,16:41,511,715,41.7,36,52,19,66
Fabian Zetterlund,25,W,84,19,22,41,7,14,14,5,0,0,20,2,0,181,10.5,356,16:21,31,21,59.6,81,154,22,50
Evgenii Dadonov,35,RW,80,20,20,40,1,10,15,5,0,2,18,2,0,123,16.3,234,13:32,0,0,,39,44,9,66
Matt Grzelcyk,31,D,82,1,39,40,-6,16,1,0,0,0,24,15,0,94,1.1,258,20:37,0,0,,101,43,32,85
Dougie Hamilton,31,D,64,9,31,40,8,30,4,5,0,3,21,10,0,186,4.8,424,19:51,0,0,,85,74,20,94
Brett Howden,26,C,80,23,17,40,17,46,22,0,1,4,17,0,0,125,18.4,217,14:52,272,244,52.7,56,121,22,42
Trevor Moore,29,LW,71,18,22,40,17,14,16,1,1,2,20,2,0,153,11.8,322,16:53,1,11,8.3,29,71,23,46
Owen Power,22,D,79,7,33,40,-13,16,6,1,0,0,28,5,0,139,5,299,21:19,0,0,,109,26,26,73
Kiefer Sherwood,29,RW,78,19,21,40,-1,35,18,0,1,6,18,2,1,141,13.5,280,14:53,24,32,42.9,30,462,26,49
Cam Fowler,33,D,68,9,31,40,12,14,7,2,0,1,25,6,0,88,10.2,203,21:33,0,0,,87,8,16,63
Casey Mittelstadt,26,C,81,15,25,40,-29,24,12,3,0,3,15,10,0,105,14.3,185,17:04,443,560,44.2,33,30,19,80
Jake Walman,28,D,65,7,33,40,4,42,7,0,0,1,24,8,1,164,4.3,382,22:46,0,0,,145,57,27,80
Reilly Smith,33,RW,79,13,27,40,10,24,9,2,2,4,22,4,1,129,10.1,213,15:26,4,7,36.4,41,48,26,70
Blake Coleman,33,C,82,15,24,39,-2,36,10,4,1,4,21,1,2,194,7.7,382,17:41,38,41,48.1,66,176,31,78
Noah Dobson,25,D,71,10,29,39,-16,28,9,1,0,1,17,11,1,196,5.1,437,23:16,0,0,,126,57,36,108
Vince Dunn,28,D,62,11,28,39,-3,33,9,2,0,3,18,10,0,137,8,321,22:05,0,0,,79,29,25,79
