Player,GP,BLK,HIT,TAKE,GIVE
Vinni Lettieri,26,16,60,10,6
Nils Lundkvist,39,34,23,6,31
Olle Lycksell,19,5,9,4,17
Philippe Myers,36,42,76,13,45
Liam Ohgren,24,12,24,5,9
Sam Rinzel,9,5,12,2,13
Ryan Shea,39,51,20,14,35
Devin Shore,55,37,76,7,14
Juuso Välimäki,43,49,23,11,40
Adam Wilsby,23,17,18,10,24
Oliver Kylington,19,18,3,5,15
Fraser Minten,21,10,48,2,10
Erik Johnson,36,26,59,16,26
Kieffer Bellows,19,6,35,3,10
Lucas Carlsson,13,14,4,6,6
Louis Crevier,32,49,70,4,30
Hudson Fasching,43,17,28,9,27
Jonah Gadjovich,42,21,127,2,4
Ryan Graves,61,73,75,18,63
Erik Gudbranson,16,19,26,3,16
Juha Jaaska,18,3,20,1,8
Ross Johnston,43,20,134,3,18
Arthur Kaliyev,14,2,7,0,4
Rory Kerins,5,2,4,0,5
John Klingberg,11,13,5,1,14
Logan Mailloux,7,8,9,0,4
Nikolas Matinpalo,41,29,25,8,31
Ivan Miroshnichenko,18,8,28,3,11
Oliver Moore,9,2,6,1,11
Simon Nemec,27,26,2,5,24
Zack Ostapchuk,56,21,110,8,19
Jimmy Snuggerud,7,4,3,4,7
Tyson Barrie,13,12,10,2,11
Kyle Burroughs,33,14,42,3,19
Nikita Chibrikov,4,4,9,1,3
Vincent Desharnais,51,83,87,3,40
Nicolas Deslauriers,31,9,85,1,9
Dryden Hunt,5,3,10,2,4
Matthew Kessel,29,23,22,6,31
Pyotr Kochetkov,47,0,0,0,17
Maveric Lamoureux,15,11,18,3,16
Andre Lee,19,10,36,4,8
Cameron Lund,11,2,7,1,2
Fabian Lysell,12,2,5,2,3
Zack MacEwen,21,7,49,3,7
Rutger McGroarty,8,5,12,2,5
Alex Nedeljkovic,38,0,0,0,13
Matthew Nieto,32,20,39,1,19
Elias Pettersson,28,16,39,1,24
Owen Pickering,25,19,13,5,11
Valtteri Puustinen,13,5,10,3,4
Ilya Sorokin,61,0,0,0,5
Spencer Stastney,23,24,8,5,20
Mitchell Stephens,28,4,25,1,8
Akil Thomas,25,12,42,1,5
Marc-Édouard Vlasic,27,40,4,4,26
Austin Watson,13,2,36,1,5
Dustin Wolf,53,0,0,0,19
Kailer Yamamoto,12,4,9,1,8
Walker Duehr,24,15,49,0,12
Andreas Englund,35,40,78,6,23
David Jiříček,12,7,12,3,15
Pierre-Olivier Joseph,47,36,36,20,53
Marc McLaughlin,14,6,28,2,6
Nicolas Aubé-Kubel,22,3,40,9,12
Robert Bortuzzo,17,26,21,0,18
Luca Cagnoni,6,9,1,2,5
