0,1,2,Player,Salary
Kiefer,Sherwood,1500000,Kiefer Sherwood,1.5
Bobby,Brink,1500000,Bobby Brink,1.5
Jordan,Spence,1500000,Jordan Spence,1.5
Derek,Forbort,1500000,Derek Forbort,1.5
Brandon,Saad,1500000,Brandon Saad,1.5
Colin,Miller,1500000,Colin Miller,1.5
Oskar,Sundqvist,1500000,Oskar Sundqvist,1.5
Nicolas,Aube-Kubel,1500000,Nicolas Aube-Kubel,1.5
Jani,Hakanpaa,1470000,Jani Hakanpaa,1.47
Mattias,Janmark,1450000,Mattias Janmark,1.45
Fabian,Zetterlund,1450000,Fabian Zetterlund,1.45
Peyton,Krebs,1450000,Peyton Krebs,1.45
Dylan,Samberg,1400000,Dylan Samberg,1.4
Jordan,Harris,1400000,Jordan Harris,1.4
Michael,Kesselring,1400000,Michael Kesselring,1.4
Keegan,Kolesar,1400000,Keegan Kolesar,1.4
Ryan,Reaves,1350000,Ryan Reaves,1.35
Nathan,Bastian,1350000,Nathan Bastian,1.35
Beck,Malenstyn,1350000,Beck Malenstyn,1.35
Morgan,Barron,1350000,Morgan Barron,1.35
Simon,Benoit,1350000,Simon Benoit,1.35
Bobby,McMann,1350000,Bobby McMann,1.35
Ty,Dellandrea,1300000,Ty Dellandrea,1.3
Arber,Xhekaj,1300000,Arber Xhekaj,1.3
Pat,Maroon,1300000,Pat Maroon,1.3
Nic,Dowd,1300000,Nic Dowd,1.3
Kevin,Rooney,1300000,Kevin Rooney,1.3
Zach,Bogosian,1250000,Zach Bogosian,1.25
Mike,Reilly,1250000,Mike Reilly,1.25
Anthony,Beauvillier,1250000,Anthony Beauvillier,1.25
Logan,Stanley,1250000,Logan Stanley,1.25
Alexei,Toropchenko,1250000,Alexei Toropchenko,1.25
Nils,Lundkvist,1250000,Nils Lundkvist,1.25
Daniil,Miromanov,1250000,Daniil Miromanov,1.25
Lukas,Reichel,1200000,Lukas Reichel,1.2
Jon,Merrill,1200000,Jon Merrill,1.2
Sam,Steel,1200000,Sam Steel,1.2
Connor,Dewar,1180000,Connor Dewar,1.18
Justin,Barron,1150000,Justin Barron,1.15
Corey,Perry,1150000,Corey Perry,1.15
Dmitry,Kulikov,1150000,Dmitry Kulikov,1.15
Kurtis,MacDermid,1150000,Kurtis MacDermid,1.15
Christian,Fischer,1125000,Christian Fischer,1.125
Nicklaus,Perbix,1125000,Nicklaus Perbix,1.125
Conor,Timmins,1100000,Conor Timmins,1.1
Mathieu,Olivier,1100000,Mathieu Olivier,1.1
Nils,Hoglander,1100000,Nils Hoglander,1.1
Justin,Danforth,1100000,Justin Danforth,1.1
Travis,Hamonic,1100000,Travis Hamonic,1.1
Ross,Johnston,1100000,Ross Johnston,1.1
Kyle,Burroughs,1100000,Kyle Burroughs,1.1
Urho,Vaakanainen,1100000,Urho Vaakanainen,1.1
Victor,Olofsson,1075000,Victor Olofsson,1.075
Oliver,Kylington,1050000,Oliver Kylington,1.05
Kevin,Bahl,1050000,Kevin Bahl,1.05
Logan,O'Connor,1050000,Logan O'Connor,1.05
Brett,Leason,1050000,Brett Leason,1.05
Rasmus,Kupari,1000000,Rasmus Kupari,1
Martin,Pospisil,1000000,Martin Pospisil,1
Declan,Chisholm,1000000,Declan Chisholm,1
Vasily,Podkolzin,1000000,Vasily Podkolzin,1
Henry,Thrun,1000000,Henry Thrun,1
Cole,Smith,1000000,Cole Smith,1
Erik,Johnson,1000000,Erik Johnson,1
Craig,Smith,1000000,Craig Smith,1
Sam,Carrick,1000000,Sam Carrick,1
Brendan,Smith,1000000,Brendan Smith,1
Connor,Brown,1000000,Connor Brown,1
Liam,O'Brien,1000000,Liam O'Brien,1
Curtis,Lazar,1000000,Curtis Lazar,1
Kasperi,Kapanen,1000000,Kasperi Kapanen,1
Andreas,Englund,1000000,Andreas Englund,1
Taylor,Raddysh,1000000,Taylor Raddysh,1
Ben,Hutton,975000,Ben Hutton,0.975
Darren,Raddysh,975000,Darren Raddysh,0.975
Daniel,Sprong,975000,Daniel Sprong,0.975
Macklin,Celebrini,975000,Macklin Celebrini,0.975
Artyom,Levshunov,975000,Artyom Levshunov,0.975
Zeev,Buium,966500,Zeev Buium,0.9665
Pierre-Olivier,Joseph,950000,Pierre-Olivier Joseph,0.95
Ty,Emberson,950000,Ty Emberson,0.95
Juraj,Slafkovský,950000,Juraj Slafkovský,0.95
Logan,Cooley,950000,Logan Cooley,0.95
Cutter,Gauthier,950000,Cutter Gauthier,0.95
Frank,Nazar,950000,Frank Nazar,0.95
Jimmy,Snuggerud,950000,Jimmy Snuggerud,0.95
Seamus,Casey,950000,Seamus Casey,0.95
Lane,Hutson,950000,Lane Hutson,0.95
Zach,Benson,950000,Zach Benson,0.95
Connor,Bedard,950000,Connor Bedard,0.95
Leo,Carlsson,950000,Leo Carlsson,0.95
Adam,Fantilli,950000,Adam Fantilli,0.95
Will,Smith,950000,Will Smith,0.95
Matvei,Michkov,950000,Matvei Michkov,0.95
Ryan,Leonard,950000,Ryan Leonard,0.95
Matthew,Wood,950000,Matthew Wood,0.95
Maxim,Tsyplakov,950000,Maxim Tsyplakov,0.95
Eric,Robinson,950000,Eric Robinson,0.95
Sam,Rinzel,941667,Sam Rinzel,0.941667
Collin,Graf,941667,Collin Graf,0.941667
Ivan,Demidov,940833,Ivan Demidov,0.940833
John,Beecher,925000,John Beecher,0.925
Jackson,LaCombe,925000,Jackson LaCombe,0.925
Drew,Helleson,925000,Drew Helleson,0.925
Dmitri,Voronkov,925000,Dmitri Voronkov,0.925
Drew,O'Connor,925000,Drew O'Connor,0.925
